target_date,generated_at,readiness_rank,pattern_key,source_type,proposal_status,promotion_decision,closed_sample_count,wins,losses,sample_count,data_quality_blocked,readiness_state,readiness_reason,next_action,auto_apply,production_change,guardrail_status
2026-06-24,2026-06-24T05:21:11+01:00,1,WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,MODEL_SHADOW_PROPOSAL,SHADOW_CANDIDATE_REQUIRED,,0,0,0,3,NO,SHADOW_REQUIRED,Pattern is repeated enough to create or continue shadow-only experiment.,CREATE_OR_CONTINUE_SHADOW_ONLY,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-24,2026-06-24T05:21:11+01:00,2,OVER_1_5::FAILURE_MODE_LOW_CONVERSION,MODEL_SHADOW_PROPOSAL,SHADOW_CANDIDATE_REQUIRED,NOT_READY_SAMPLE_TOO_SMALL,1,1,0,5,NO,BLOCKED_BY_SAMPLE_SIZE,Only 1 closed samples; minimum review sample is 30.,CONTINUE_SHADOW_FORWARD_TEST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-24,2026-06-24T05:21:11+01:00,3,UNRESOLVED_RESULTS,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,12,NO,DATA_QUALITY_REVIEW,Pattern is data-quality related and should not become predictive change.,CLEAN_EVIDENCE,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-24,2026-06-24T05:21:11+01:00,4,OVER_1_5::UNKNOWN_RISK,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,7,NO,DATA_QUALITY_REVIEW,Pattern is data-quality related and should not become predictive change.,CLEAN_EVIDENCE,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-24,2026-06-24T05:21:11+01:00,5,UNKNOWN_MARKET::UNKNOWN_RISK,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,7,NO,DATA_QUALITY_REVIEW,Pattern is data-quality related and should not become predictive change.,CLEAN_EVIDENCE,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-24,2026-06-24T05:21:11+01:00,6,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,7,NO,DATA_QUALITY_REVIEW,Pattern is data-quality related and should not become predictive change.,CLEAN_EVIDENCE,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-24,2026-06-24T05:21:11+01:00,7,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,7,NO,DATA_QUALITY_REVIEW,Pattern is data-quality related and should not become predictive change.,CLEAN_EVIDENCE,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-24,2026-06-24T05:21:11+01:00,8,OVER_2_5::UNKNOWN_RISK,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,2,NO,DATA_QUALITY_REVIEW,Pattern is data-quality related and should not become predictive change.,CLEAN_EVIDENCE,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-24,2026-06-24T05:21:11+01:00,9,UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,2,NO,DATA_QUALITY_REVIEW,Pattern is data-quality related and should not become predictive change.,CLEAN_EVIDENCE,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-24,2026-06-24T05:21:11+01:00,10,WAITING_PRELOCK,OPERATIONAL_PROPOSAL,PROPOSAL_ONLY,,0,0,0,4,NO,MONITOR_ONLY,Proposal does not clear shadow or promotion gates.,KEEP_MONITORING,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-24,2026-06-24T05:21:11+01:00,11,EXPIRED_PRELOCK,OPERATIONAL_PROPOSAL,MONITOR_ONLY,,0,0,0,1,NO,MONITOR_ONLY,Proposal does not clear shadow or promotion gates.,KEEP_MONITORING,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
